carrier,mean_bias_hours,std_bias_hours,sample_size,median_error,p90_error
Maersk,1.25,1.10,1250,1.05,2.80
MSC,2.40,1.65,1420,2.10,4.50
CMA CGM,1.80,1.35,980,1.50,3.60
COSCO,2.10,1.50,1100,1.85,4.10
Hapag-Lloyd,0.95,0.85,860,0.80,2.10
Evergreen,1.60,1.20,790,1.40,3.20
ONE,1.45,1.15,650,1.25,2.90
Yang Ming,1.75,1.30,520,1.55,3.45
HMM,1.35,1.05,410,1.15,2.75
ZIM,2.05,1.40,380,1.80,3.90
Wan Hai,1.55,1.10,320,1.35,3.00
PIL,1.90,1.25,290,1.65,3.70
X-Press Feeders,1.10,0.90,450,0.95,2.20
KMTC,1.40,1.00,260,1.20,2.70
SITC,1.15,0.85,240,1.00,2.30
OOCL,1.30,1.00,560,1.10,2.60
Matson,0.80,0.65,210,0.70,1.60
Grimaldi,1.65,1.20,190,1.45,3.30
Unifeeder,1.05,0.80,340,0.90,2.10
Arkas,1.70,1.30,150,1.50,3.40
Sinokor,1.35,1.05,180,1.20,2.65
RCL,1.45,1.15,160,1.30,2.85
TS Lines,1.50,1.10,140,1.35,2.95
Swire Shipping,1.20,0.95,120,1.05,2.40
DEFAULT,1.50,1.25,10000,1.30,3.10
