vessel_id,vessel_name,carrier,vessel_class,cargo_volume_teu,length_m,draft_m,berth_id,cranes_allocated,carrier_reported_eta,actual_arrival_time,departure_time,arrival_speed_knots,wind_speed_knots,tidal_restriction_flag,scheduled_dwell_hours,actual_dwell_hours,delay_minutes,delay_cause,shift_id,eta_bias_hours
IMO9300001,Maersk Panamax 0001,Maersk,Panamax,3571,271.9,10.5,B-04,3,2025-05-19T07:08:17.467629+00:00,2025-05-19T08:45:29.467629+00:00,2025-05-20T18:09:29.467629+00:00,14.0,13.7,0,34.4,33.4,0,NONE,SHIFT_A (06:00-14:00),1.62
IMO9300002,KMTC Feeder 0002,KMTC,Feeder,2457,143.2,8.5,B-08,2,2025-03-21T05:17:57.547228+00:00,2025-03-21T06:49:45.547228+00:00,2025-03-22T02:31:45.547228+00:00,13.2,8.1,0,19.3,19.7,0,NONE,SHIFT_A (06:00-14:00),1.53
IMO9300003,X-Press Feeders Feeder 0003,X-Press Feeders,Feeder,2036,135.8,9.1,B-09,2,2025-02-14T10:53:38.080930+00:00,2025-02-14T14:14:02.080930+00:00,2025-02-15T16:38:02.080930+00:00,9.4,32.3,1,20.0,26.4,385,WEATHER,SHIFT_B (14:00-22:00),3.34
IMO9300004,CMA CGM Feeder 0004,CMA CGM,Feeder,1392,132.7,7.6,B-08,2,2025-01-10T18:45:30.700015+00:00,2025-01-10T18:54:30.700015+00:00,2025-01-11T18:00:30.700015+00:00,13.1,24.7,0,20.2,23.1,173,WEATHER,SHIFT_B (14:00-22:00),0.15
IMO9300005,ONE Handymax 0005,ONE,Handymax,3399,206.8,10.3,B-06,3,2025-07-06T21:54:38.622290+00:00,2025-07-07T00:14:26.622290+00:00,2025-07-07T18:14:26.622290+00:00,17.1,8.2,0,18.0,18.0,0,NONE,SHIFT_C (22:00-06:00),2.33
IMO9300006,MSC Post-Panamax 0006,MSC,Post-Panamax,9084,311.5,12.6,B-04,3,2026-03-09T13:02:07.756523+00:00,2026-03-09T18:51:19.756523+00:00,2026-03-11T14:21:19.756523+00:00,17.9,9.4,0,43.3,43.5,0,NONE,SHIFT_B (14:00-22:00),5.82
IMO9300007,SITC Handymax 0007,SITC,Handymax,3149,185.7,8.8,B-08,2,2025-03-29T16:57:01.564777+00:00,2025-03-29T17:05:25.564777+00:00,2025-03-30T18:59:25.564777+00:00,15.5,12.5,0,25.5,25.9,0,NONE,SHIFT_B (14:00-22:00),0.14
IMO9300008,Hapag-Lloyd Neo-Panamax 0008,Hapag-Lloyd,Neo-Panamax,13458,356.3,15.1,B-03,4,2026-08-03T11:23:18.615982+00:00,2026-08-03T12:19:42.615982+00:00,2026-08-05T15:25:42.615982+00:00,9.8,12.9,0,49.5,51.1,95,WEATHER,SHIFT_A (06:00-14:00),0.94
IMO9300009,COSCO Post-Panamax 0009,COSCO,Post-Panamax,8685,334.1,13.6,B-03,4,2026-06-29T22:06:07.202224+00:00,2026-06-29T22:41:31.202224+00:00,2026-07-01T22:59:31.202224+00:00,15.3,30.0,1,49.0,48.3,0,NONE,SHIFT_C (22:00-06:00),0.59
IMO9300010,ZIM Neo-Panamax 0010,ZIM,Neo-Panamax,11629,361.9,14.5,B-01,4,2025-12-23T03:38:25.899819+00:00,2025-12-23T04:55:13.899819+00:00,2025-12-25T09:01:13.899819+00:00,18.4,8.2,0,48.6,52.1,210,YARD_CONGESTION,SHIFT_C (22:00-06:00),1.28
IMO9300011,COSCO Panamax 0011,COSCO,Panamax,4259,285.0,11.8,B-05,3,2026-08-07T12:07:59.373299+00:00,2026-08-07T16:51:11.373299+00:00,2026-08-09T01:39:11.373299+00:00,11.5,6.0,0,30.7,32.8,124,CRANE_OUTAGE,SHIFT_B (14:00-22:00),4.72
IMO9300012,OOCL Feeder 0012,OOCL,Feeder,1880,186.8,7.4,B-10,2,2025-11-17T17:38:20.338377+00:00,2025-11-17T18:58:08.338377+00:00,2025-11-18T12:10:08.338377+00:00,11.7,9.4,0,17.6,17.2,0,NONE,SHIFT_B (14:00-22:00),1.33
IMO9300013,PIL ULCV 0013,PIL,ULCV,15982,380.9,15.5,B-01,4,2026-04-09T12:18:40.746278+00:00,2026-04-09T13:19:52.746278+00:00,2026-04-12T13:55:52.746278+00:00,16.5,9.8,1,72.0,72.6,0,NONE,SHIFT_A (06:00-14:00),1.02
